Slice #,Xd,Yd,Xt,Yt
1,170.49356223176,203.15281214758,212.405600033014,154.439377682404
2,170.49356223176,199.928754295854,210.744086236151,152.282662940414
3,170.49356223176,201.347773104079,212.409902047354,153.082325399922
4,170.49356223176,201.831030630842,212.582815950665,153.681924246844
5,170.49356223176,202.383444059028,212.378979938118,153.61712745783
6,170.49356223176,203.790405079664,212.574319801551,154.70380359885
7,170.49356223176,204.863222144426,211.560523157659,155.044952504933
8,170.49356223176,203.261930849443,211.890729210744,154.505934030507
9,170.49356223176,202.923906594904,212.012176863959,153.886116378881
10,170.49356223176,201.397500788353,213.037215591746,153.386932408333
11,170.49356223176,200.725295164592,212.190115037137,151.9225116115
12,170.49356223176,199.941106045463,212.258834382897,151.551782920862
13,170.49356223176,201.759918545796,212.752044699976,152.719349744919
14,170.49356223176,201.683114287089,212.290599473903,152.595874290461
15,170.49356223176,203.120310637684,212.065984581901,153.361267619958
16,170.49356223176,202.251615454919,212.798016304906,153.822617409697
17,170.49356223176,202.573060251525,212.957796852647,153.369098712447
18,170.49356223176,201.463358970385,212.448357466608,151.625486342305
19,170.49356223176,199.877556801479,212.624171351428,152.041145298112
20,170.49356223176,199.061614439414,212.345216337762,152.137195309773
21,170.49356223176,199.08902773398,212.854077253219,150.962171873441
22,170.49356223176,201.089049113036,212.152152845078,151.934791637824
23,NaN,NaN,NaN,NaN
24,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,NaN
26,NaN,NaN,NaN,NaN
27,NaN,NaN,NaN,NaN
28,NaN,NaN,NaN,NaN
29,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN
31,NaN,NaN,NaN,NaN
32,NaN,NaN,NaN,NaN
33,170.49356223176,200.502530745755,212.678826895565,153.81900614323
34,170.49356223176,201.210626459789,212.406115879828,152.739404506438
35,170.49356223176,201.584829421857,212.898638519827,153.592623775592
36,170.49356223176,203.135185115901,212.961682898647,155.078511885111
37,170.49356223176,205.259392086542,212.353361945637,156.587982832618
38,170.49356223176,207.222577352097,211.975899636844,157.616994057445
39,170.49356223176,207.50483433904,212.109664052094,157.902915495042
40,170.49356223176,205.058829817369,211.421749380403,155.835297910496
41,170.49356223176,202.46673151647,211.435854036954,154.60114046223
42,NaN,NaN,NaN,NaN
43,NaN,NaN,NaN,NaN
44,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN
46,NaN,NaN,NaN,NaN
47,NaN,NaN,NaN,NaN
48,NaN,NaN,NaN,NaN
49,NaN,NaN,NaN,NaN
50,170.49356223176,201.190054463145,212.249159030275,153.350829370143
51,170.49356223176,202.007568185827,212.373667451197,154.734874705801
52,170.49356223176,201.893542990609,213.140980005288,155.034273742449
53,170.49356223176,199.324218729122,212.847987472451,153.157986312493
54,170.49356223176,198.594145345512,212.40751170062,151.628376672557
55,NaN,NaN,NaN,NaN
56,NaN,NaN,NaN,NaN
57,NaN,NaN,NaN,NaN
58,NaN,NaN,NaN,NaN
59,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN
61,NaN,NaN,NaN,NaN
62,NaN,NaN,NaN,NaN
63,170.49356223176,197.784573942138,212.178111587983,152.116615005564
64,170.49356223176,198.828801864254,213.081524819823,152.319013685319
65,170.49356223176,198.430055745889,214.167197157936,151.878452471405
66,170.49356223176,198.458425753211,213.724752354413,150.648861949027
67,170.49356223176,197.525999604487,214.336568930248,150.797200272753
68,170.49356223176,199.258862954906,214.530528787756,150.710583852944
69,170.49356223176,200.810993110599,213.675065762149,150.671466149799
70,170.49356223176,201.5930336346,214.134477825465,154.28469241774
71,170.49356223176,202.233325672505,213.326180257511,154.574391988555
72,170.49356223176,200.78472359553,213.54450019142,153.324669044309
73,170.49356223176,200.032736679512,212.997944750045,152.799270587761
74,170.49356223176,199.868962420964,212.8668917682,151.745214897382
75,170.49356223176,198.348852746407,213.078703703704,150.131139723414
76,170.49356223176,199.118226179723,212.605565554479,150.010383497162
77,170.49356223176,199.920715770795,213.172178742742,150.996251917736
78,170.49356223176,198.419050876809,213.850639802893,150.868303926244
79,170.49356223176,199.184805904895,213.336909871245,151.884835479256
80,170.49356223176,200.905066301797,213.813742041779,153.126334845311
81,170.49356223176,201.101486378869,213.806606233204,152.137900605672
82,170.49356223176,201.094319050342,212.7267063547,152.831233559463
83,170.49356223176,201.1205458073,213.550264113569,152.709743314626
84,170.49356223176,199.166323710976,213.205052580192,151.585033460123
85,170.49356223176,199.938968139862,213.189440063879,151.570016967761
86,170.49356223176,198.613087189135,213.478882876158,151.702224710249
87,170.49356223176,199.420991026141,213.425176127622,152.315470888331
88,170.49356223176,201.97774974746,213.272835857154,152.141873835938
89,170.49356223176,201.749143501569,213.36061483182,152.649466014573
90,170.49356223176,201.620126243326,213.301227667432,153.037229264398
91,170.49356223176,199.669634792276,212.973166299347,151.56111046669
92,170.49356223176,198.648576422108,213.669728450523,151.639525089246
93,170.49356223176,198.67702660089,213.801859799714,152.342632331903
94,170.49356223176,197.59927097419,213.487321337166,150.204256408237
95,170.49356223176,197.942746888011,213.671524104202,150.654755963669
96,170.49356223176,199.073485160263,213.789504486929,152.443913382755
97,170.49356223176,201.178755632045,213.767999679114,152.155449039349
98,170.49356223176,203.340568362204,213.529340981108,153.850627732542
99,170.49356223176,204.233111881945,213.665813799934,156.50482832618
100,170.49356223176,206.246676892982,213.01263710062,156.630007153076
101,170.49356223176,206.071352599426,212.578565181132,157.11307283933
102,170.49356223176,204.504449516032,212.539609321728,156.542557458586
103,170.49356223176,201.928380162374,211.563295225797,153.853640472483
